CIP_Code,Program,Minimum_Wage,Employment,Projected_Growth,Projected_Demand
41-9021.00,"Real Estate Brokers   
Bright Outlook
  
 ",58210,96000,8.5,60.631536
41-9022.00,"Real Estate Sales Agents 
",48690,369000,8.5,194.9377185
13-2021.02,"Appraisers, Real Estate 
",54980,80000,8.5,47.72264
11-9141.00,"Property, Real Estate, and Community Association Managers 
",58340,363000,8.5,229.775007
13-2021.00,"Appraisers and Assessors of Real Estate 
",54980,80000,8.5,47.72264
13-2021.01,"Assessors 
",54980,80000,8.5,47.72264
13-2061.00,"Financial Examiners 
",80180,61000,8.5,53.067133
13-2072.00,"Loan Officers 
",63040,316000,8.5,216.138944
23-2011.00,"Paralegals and Legal Assistants 
",50940,326000,11,184.331484
11-3031.02,"Financial Managers, Branch or Department 
",127990,654000,11,929.130606
11-1011.00,Chief Executives ,189600,263000,-2,488.67504
41-3031.02,"Sales Agents, Financial Services ",64120,442000,5,297.58092
25-1194.00,"Vocational Education Teachers, Postsecondary ",53120,126000,-2,65.592576
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive 
",36630,2383000,-2,855.435042
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers ,73390,398000,-2,286.250356
25-1011.00,"Business Teachers, Postsecondary 
",83960,108000,11,100.651248
13-2051.00,"Financial Analysts     
Green

",85660,330000,5,296.8119
23-1011.00,Lawyers ,120910,824000,5,1046.11332
43-1011.00,"First-Line Supervisors of Office and Administrative Support Workers 
",55810,1558000,0,869.5198
43-9061.00,"Office Clerks, General 
",32730,3159000,-2,1013.261886
27-4021.00,Photographers ,34000,132000,-2,43.9824
19-1031.02,Range Managers ,61310,24000,5,15.45012
41-3011.00,Advertising Sales Agents ,51740,148000,-2,75.043696
17-1011.00,"Architects, Except Landscape and Naval 

",79380,134000,8.5,115.410582
43-3011.00,Bill and Account Collectors ,36020,258000,-2,91.072968
43-4031.03,License Clerks ,38450,151000,5,60.962475
47-4011.00,"Construction and Building Inspectors 

",59700,117000,8.5,75.786165
17-2072.01,Radio Frequency Identification Device Specialists ,102700,139000,0,142.753
17-3029.05,"Industrial Engineering Technologists 
",63200,87000,2.5,56.3586
51-8012.00,"Power Distributors and Dispatchers 
",86410,12000,-2,10.161816
23-2093.00,"Title Examiners, Abstractors, and Searchers ",47130,63000,0,29.6919
41-3099.01,"Energy Brokers 

",54550,1061000,8.5,627.9714175
13-2052.00,"Personal Financial Advisors 

",88890,272000,8.5,262.332168
27-1014.00,Multimedia Artists and Animators ,72520,72000,5,54.82512
11-9041.01,"Biofuels/Biodiesel Technology and Product Development Managers 
",140760,193000,2.5,278.45847
15-1199.10,"Search Marketing Strategists 
",90270,413000,8.5,404.5043835
11-2021.00,"Marketing Managers 

",134290,259000,8.5,377.3750435
41-3021.00,"Insurance Sales Agents 
",50600,476000,8.5,261.32876
17-3023.01,"Electronics Engineering Technicians 
",64330,131000,0,84.2723
19-4031.00,"Chemical Technicians 
",48160,70000,2.5,34.5548
15-1121.00,"Computer Systems Analysts 
",88740,634000,8.5,610.433586
11-2022.00,Sales Managers ,124220,406000,5,529.54986
